id,title,lang,imdb_id,year,cohort
7866,Evil,en,tt0493126,2005,with_tt
28242,Zombie Hunters,en,tt0902355,2007,with_tt
28960,Shadow of the Demon,en,tt0298548,2002,with_tt
29508,Dead Things,en,tt0450410,2005,with_tt
30405,Space Psychos 4,en,tt0365782,2003,with_tt
30479,Always Midnight,en,tt3429884,2006,with_tt
30512,Terror Talk,en,,2012,without_tt
57827,Static Blood,en,tt1855357,2011,with_tt
83035,Waldile - Der Schlimme Killerhund,en,,2008,without_tt
102116,"Paper Rock, Scissors",en,tt2084915,2011,with_tt
107738,Possum Walk,en,tt1433330,2010,with_tt
135570,11:11,en,tt0406492,2011,with_tt
146170,Black Mass,en,tt0471102,2005,with_tt
160865,Light Speed,en,tt0144279,1998,with_tt
171285,The Toy Box,en,,2014,without_tt
192153,Isolated,en,tt0464069,2006,with_tt
212237,Hell in a Handbag,en,tt3019246,2013,with_tt
223050,Zombie Girl Diary,en,tt2559960,2013,with_tt
223099,Surviving Evidence,en,tt3105154,2013,with_tt
230298,Rough Cut,en,tt2602272,2013,with_tt
232810,Black Tree Forest III,en,tt4360454,2013,with_tt
240665,Tiang Seri,en,,2013,without_tt
251526,The Mutagen,en,tt0272200,1988,with_tt
255561,Necroland,en,tt3518152,2020,with_tt
256951,Angustia,en,tt3326152,2013,with_tt
261335,Mortal Remains,en,tt12078324,1972,with_tt
263002,Mortified,en,tt21965296,2011,with_tt
276007,The Possession of Sophie Love,en,tt2994002,2013,with_tt
276036,Short Cut Road,en,,2003,without_tt
282534,Shock,en,,2010,without_tt
283328,Bees,en,tt0179669,1998,with_tt
287528,The Vampyre Wars,en,,1996,without_tt
294776,Til Death,en,,2006,without_tt
295711,The Border,en,,2015,without_tt
298042,Vieques,en,tt3027492,2014,with_tt
305159,City of Lust,en,,2014,without_tt
307047,Heinous Acts,en,tt4161070,2014,with_tt
317985,E.T. is Estong Tutong,en,tt1479220,1983,with_tt
318931,The Witches,xx,tt1758567,1927,with_tt
319365,Talking Skeleton,en,tt1139371,1961,with_tt
319641,Mystery and Terror,en,tt1207942,1970,with_tt
320781,Bit Parts,en,,2007,without_tt
321683,Three Beggars,ko,tt14411914,1928,with_tt
321702,Bride from the Grave,en,tt0396135,1963,with_tt
321713,Grudge,en,tt0322489,1968,with_tt
326280,Masks: Facade,en,tt4461816,2015,with_tt
329115,Pig Girl,en,tt3487526,2014,with_tt
330998,The Signs of End Times 2,en,tt2187143,2007,with_tt
331335,Demon Exorcism: The Devil Inside Maxwell Bastas,en,tt1649749,2013,with_tt
336503,The Woods Within,en,tt3539514,2014,with_tt
338642,Mutant Massacre 2,en,tt0243429,1991,with_tt
341467,Tarotsphere,en,tt2719412,2013,with_tt
346560,Legend of Dark Rider,en,,2016,without_tt
354328,Run,en,tt7261314,2015,with_tt
361537,Blood Curse: The Haunting of Alicia Stone,en,tt4986280,2024,with_tt
361538,Blood Curse II: Asmodeus Rises,en,tt2993466,2024,with_tt
365348,Normal,en,tt4590898,2015,with_tt
370208,Heaven and Hell,en,tt1273215,2010,with_tt
370216,Zombies Eat My Guts,en,tt6937902,2002,with_tt
372579,Watch This,en,tt3180128,2013,with_tt
374114,Ada Apa Dekat Bus Stop,en,,2015,without_tt
381760,Masks: Exordium,en,tt4800638,2016,with_tt
392248,Eve's Demons,en,tt4076950,2015,with_tt
395456,KillCam: Live,en,tt2123217,2012,with_tt
397273,An Ending,en,tt5613162,2018,with_tt
404357,Deadwood Falls,en,tt5836422,2017,with_tt
405057,Y2K: Shutdown Detected,en,tt0439886,1999,with_tt
407118,The Outer Limits: The New Series - Time Travel and Infinity,en,,2002,without_tt
407323,The Shrieking,en,tt0456005,2008,with_tt
407687,The Next Door Neighbor,en,tt1524932,2011,with_tt
