id,title,year
1261561,The Monkey's Paw,1923
26921,The Mystery of the Mary Celeste,1935
212973,Gildersleeve's Ghost,1944
48800,The Unknown,1946
3104,Frankenstein Created Woman,1967
64524,Nightmare,1964
77399,Incense for the Damned,1971
30833,Drive-In Massacre,1976
399172,Lipstick and Blood,1984
1015482,Kiss of the Serpent,1988
88410,Beyond Evil,1980
336254,Downtime,1995
36992,Shakma,1990
45551,Surveillance,2006
156252,Phobic,2002
28265,Lovesick: Sick Love,2004
28419,Hellbreeder,2004
278267,The Dead Walk,2008
165078,Legend of Hell,2012
225048,Evangeline,2013
286452,Varsity Blood,2014
300156,The Interrogation of Cheryl Cooper,2014
547055,Threshold,2016
653537,Whispers,2019
974046,House of White Spiders,2010
77677,Escapee,2011
472015,Hunting for Shadows,2016
748251,Vamp Bikers Dos,2015
863406,The Blue Rose,2024
931049,Beware the Woods,2022
1083119,The Lost Chronicles,2023
1125186,Home Education,2023
1193824,Rabbit Trap,2025
931940,The Fix,2024
1229586,Stutter,2024
