id,title,year,imdb_id,tmdb_genres,imdb_titleType,flag_tmdb_tv_movie,flag_imdb_tv_type
3024,The Strange Case of Dr. Jekyll and Mr. Hyde,,tt0062908,,tvMovie,0,1
3027,Dr. Jekyll and Mr. Hyde,1973,tt0070002,"Horror, Science Fiction",tvMovie,0,1
3042,Frankenstein,1993,tt0106959,"Horror, Science Fiction, TV Movie",tvMovie,1,1
3056,Frankenstein,2004,tt0397430,"Drama, Horror, Mystery, Science Fiction, TV Movie",tvMovie,1,1
3067,Frankenstein,1984,tt0087288,"Horror, Science Fiction, Thriller, TV Movie",tvMovie,1,1
3068,Frankenstein,1973,tt0070073,"Horror, Science Fiction, TV Movie",tvEpisode,1,1
3070,Frankenstein,1987,tt0311159,"Family, Horror, TV Movie",tvMovie,1,1
3105,Frankenstein: The True Story,1974,tt0070074,"Drama, Horror, Science Fiction",tvMovie,0,1
3579,Shadow Realm,2002,tt0328723,"Horror, Thriller",tvMovie,0,1
4337,The Birds II: Land's End,1994,tt0109275,"Horror, TV Movie",tvMovie,1,1
5675,Hollywood Rated 'R',1997,tt0179853,"Documentary, Horror, Science Fiction",tvMovie,0,1
6174,The Murders in the Rue Morgue,1986,tt0091574,"Crime, Horror, Mystery, TV Movie",tvMovie,1,1
7342,Carrie,2002,tt0319970,"Drama, Horror, TV Movie",tvMovie,1,1
9608,The Legend of Sleepy Hollow,1999,tt0214874,"Fantasy, Horror, Mystery",tvMovie,0,1
9711,Species III,2004,tt0410650,"Action, Horror, Science Fiction",tvMovie,0,1
9755,Bloodsuckers,2005,tt0430926,Horror,tvMovie,0,1
10004,Desperation,2006,tt0129871,"Drama, Fantasy, Horror, Mystery, Thriller",tvMovie,0,1
11508,Addams Family Reunion,,tt0146402,,tvMovie,0,1
14192,Living Hell,2008,tt0479201,"Action, Horror, Science Fiction, Thriller",tvMovie,0,1
14730,The Wyvern Mystery,2000,tt0237934,"Drama, History, Horror, Mystery, Thriller, TV Movie",tvMovie,1,1
14863,Anaconda 3: Offspring,2008,tt1137996,"Action, Adventure, Horror",tvMovie,0,1
15056,The Curse of King Tut's Tomb,2006,tt0464799,"Action, Adventure, Fantasy, Horror, Thriller",tvMovie,0,1
15212,Species: The Awakening,2007,tt0844894,"Horror, Science Fiction, Thriller",tvMovie,0,1
15360,The Night Stalker,1972,tt0067490,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1
15591,Black Swarm,2007,tt1090189,Horror,tvMovie,0,1
16067,Final Days of Planet Earth,2006,tt0478073,"Action, Drama, Horror, Science Fiction",tvSeries,0,1
16175,The Diary of Ellen Rimbauer,2003,tt0350811,"Drama, Horror, Mystery, Thriller",tvMovie,0,1
16182,The Woman in Black,1989,tt0098672,"History, Horror, Mystery, TV Movie",tvMovie,1,1
16200,Storm Cell,2008,tt0983922,"Action, Drama, Horror, Thriller",tvMovie,0,1
17038,Lake Placid 2,2007,tt0974583,"Horror, Science Fiction",tvMovie,0,1
17100,Trucks,2000,tt0120380,"Horror, Science Fiction, Thriller, TV Movie",tvMovie,1,1
17200,Helter Skelter,1976,tt0074621,"Crime, Drama, Horror, Thriller, TV Movie",tvMiniSeries,1,1
17792,Omen IV: The Awakening,1991,tt0102585,Horror,tvMovie,0,1
18044,Ogre,2008,tt0923824,"Horror, Science Fiction",tvMovie,0,1
18676,The Lost Treasure of the Grand Canyon,2008,tt1229370,"Adventure, Fantasy, Horror, TV Movie",tvMovie,1,1
18742,The House Next Door,2006,tt0863080,"Horror, Mystery, Thriller",tvMovie,0,1
19010,Deep Evil,2004,tt0389912,"Horror, Science Fiction, Thriller",tvMovie,0,1
19241,Backwoods,2008,tt1153100,"Horror, Thriller, TV Movie",tvMovie,1,1
19543,Anacondas: Trail of Blood,2009,tt1150934,"Action, Adventure, Horror",tvMovie,0,1
19544,Deadly Visions,2004,tt0416267,"Drama, Horror, Thriller",tvMovie,0,1
20121,Killdozer,1974,tt0071717,"Horror, Science Fiction, Thriller, TV Movie",tvMovie,1,1
20182,Alien Abduction: Incident in Lake County,1998,tt0142074,"Drama, Horror, Science Fiction",tvMovie,0,1
21505,The Haunted Airman,2006,tt0810892,"Drama, Horror, Thriller",tvMovie,0,1
21851,The Lost,2009,tt0831916,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1
21922,Sea Beast,2008,tt1314248,"Horror, Science Fiction, Thriller, TV Movie",tvMovie,1,1
22450,Red Water,2003,tt0365677,"Action, Horror",tvMovie,0,1
22468,The Presence,1992,tt0104049,"Horror, Thriller, TV Movie",tvMovie,1,1
23691,The Initiation of Sarah,2006,tt0795403,"Drama, Horror, Thriller, TV Movie",tvMovie,1,1
23692,The Initiation of Sarah,1978,tt0077735,"Horror, TV Movie",tvMovie,1,1
24643,Lost Colony: The Legend of Roanoke,2007,tt0875696,"Fantasy, Horror, Mystery, TV Movie",tvMovie,1,1
24778,Hydra,2009,tt1034447,"Action, Fantasy, Horror, Science Fiction, TV Movie",tvMovie,1,1
24799,Wolvesbayne,,tt1266121,,tvMovie,0,1
24921,Rise of the Gargoyles,2009,tt1275786,Horror,tvMovie,0,1
25754,Children of the Corn,2009,tt1290135,"Horror, Thriller, TV Movie",tvMovie,1,1
26015,Don't Be Afraid of the Dark,1973,tt0069992,"Horror, TV Movie",tvMovie,1,1
26215,Quicksilver Highway,1997,tt0119975,"Horror, Thriller, TV Movie",tvMovie,1,1
