id,title,year
214,Saw III,2006
24740,The Entity,1982
26925,The Man They Could Not Hang,1939
27825,Bad Girls from Mars,1990
56026,The Rising Dead,2007
63512,Murders in the Rue Morgue,1971
74321,Planet of the Vampire Women,2011
82972,Curio,2010
83413,Blood Freak,1972
203039,Snake Club: Revenge of the Snake Woman,2013
205769,Flesh Eaters from Outer Space,1989
288588,Valerie on the Stairs,2006
319309,Family,2006
389821,Flesh for the Inferno,2015
427941,The Craving,2011
472226,Blood Fest,2018
485806,Exorcism of the Dead,2017
496957,Ek Din Ek Raat,2011
516023,Hi-Death,2018
680493,Return to Silent Hill,2026
753574,In the Dark,2000
781349,I Drip Blood on Your Grave,2020
794004,Bleach,2020
931447,"Truly, Madly",2020
1084187,Pretty Lethal,2026
1284041,The Last House,2026
1284046,Onslaught,2026
1290532,Right This Way,2023
1357411,The Birdwatcher,2025
1374767,28 Months After,2010
1514682,Above & Below,2026
1529833,Dinosaur Hunt,2026
1534340,Lechuza,2025
1680084,Popeye III: Requiem,9999
1719917,Tape 001,2026
1722917,Thunderbirds: Attack of the Alligators!,1966
1724422,Siren Head,9999
1736795,Deep Sleep,2026
