id,title,year
484509,Just Spooks,1925
1261561,The Monkey's Paw,1923
362776,Ghost Town Frolics,1938
26921,The Mystery of the Mary Celeste,1935
212973,Gildersleeve's Ghost,1944
48800,The Unknown,1946
35073,"The Beast from 20,000 Fathoms",1953
836924,Roh Membela,1955
3104,Frankenstein Created Woman,1967
64524,Nightmare,1964
77399,Incense for the Damned,1971
30833,Drive-In Massacre,1976
399172,Lipstick and Blood,1984
1015482,Kiss of the Serpent,1988
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989
88410,Beyond Evil,1980
86687,Severed Ties,1992
336254,Downtime,1995
36992,Shakma,1990
43274,Tower of Terror,1997
15056,The Curse of King Tut's Tomb,2006
23532,How to Be a Serial Killer,2009
31012,Cerberus,2005
45551,Surveillance,2006
156252,Phobic,2002
743757,Blood Orgy of the Damned,2007
11908,Hatchet,2006
28265,Lovesick: Sick Love,2004
28419,Hellbreeder,2004
53553,The Glow,2002
77050,Theodore,2009
278267,The Dead Walk,2008
165078,Legend of Hell,2012
225048,Evangeline,2013
233194,8 Butterflies,2010
286452,Varsity Blood,2014
300156,The Interrogation of Cheryl Cooper,2014
302019,Crow Hand,2014
387034,Nasty Nancy,2010
491649,Larry,2017
505063,Await Further Instructions,2018
547055,Threshold,2016
636515,Hidden Mother,2019
653537,Whispers,2019
772603,Money,2017
974046,House of White Spiders,2010
976209,Midnight Thirst,2016
77677,Escapee,2011
94910,Magnificat,2011
207475,The Ouija Experiment,2011
259675,Belly of the Wolf,2013
343674,Gerald's Game,2017
356486,Lumberjack Man,2015
384756,Rabid,2019
472015,Hunting for Shadows,2016
487439,Itch,2017
682809,Under the Table,2011
748251,Vamp Bikers Dos,2015
861413,A Dream...,2012
940187,THE INQUISTION,2019
972244,Darkness of Day,2010
748589,Housesitter: The Night They Saved Siegfried's Brain,2020
796250,Confinement,2022
802851,Charles,2022
854417,Bearry,2021
863406,The Blue Rose,2024
918096,"Hemet, or the Landlady Don't Drink Tea",2024
931049,Beware the Woods,2022
1022479,You're Melting!,2022
1083119,The Lost Chronicles,2023
1125186,Home Education,2023
1193824,Rabbit Trap,2025
1289969,The Battle of Grovers Mill,2024
1298819,Clickbait: Unfollowed,2024
1307154,Sinister Surgeon,2024
1375109,Darby After Dark,2024
1397562,Coreys,2024
1441287,House Rules,2024
1443966,How Was Your Weekend?,2025
1475231,Bonehead,2025
1718150,Curfew,2025
652004,The Wolf of Snow Hollow,2020
931940,The Fix,2024
949486,Doors,2020
988142,The Five Fingers of a Dog,2022
1085262,Our House,2023
1148920,Trial 22,2023
1229586,Stutter,2024
1273536,Theoretical: The Invisible Man,2024
1294319,Shades of Red,2024
1346645,Lupo,2024
1351896,Sally,2024
1363776,Paralysis,2024
1379480,Oliver's Basement,2024
1405670,xOxExFx,2024
1463113,Bone,2023
1483020,Camp Baloney,2025
1483743,"up here, disappear",2025
1541944,A Hollow Tree,2023
1578643,Cymophane,2024
